Source plate,Source Position,Dest rack,Dest position,volume
DNA plate,1,Eppendorfs,1,3.135678392
DNA plate,2,Eppendorfs,2,4.06779661
DNA plate,3,Eppendorfs,3,3.880597015
DNA plate,4,Eppendorfs,4,5.909090909
DNA plate,5,Eppendorfs,5,1.915285451
DNA plate,6,Eppendorfs,6,1.389136242
DNA plate,7,Eppendorfs,7,1.965973535
DNA plate,8,Eppendorfs,8,3.505617978
DNA plate,9,Eppendorfs,1,5.502645503
DNA plate,10,Eppendorfs,2,2.870285189
DNA plate,11,Eppendorfs,3,6.753246753
DNA plate,12,Eppendorfs,4,1.28447921
DNA plate,13,Eppendorfs,5,1.35534318
DNA plate,14,Eppendorfs,6,7.8
DNA plate,15,Eppendorfs,7,0.774193548
DNA plate,16,Eppendorfs,8,11.72932331
DNA plate,17,Eppendorfs,1,2.675814751
DNA plate,18,Eppendorfs,2,1.411126187
DNA plate,19,Eppendorfs,3,0.485981308
DNA plate,20,Eppendorfs,4,0.456140351
DNA plate,21,Eppendorfs,5,1.429225836
DNA plate,22,Eppendorfs,6,2.838944495
DNA plate,23,Eppendorfs,7,2.862385321
DNA plate,24,Eppendorfs,8,1.405405405
DNA plate,25,Eppendorfs,1,2.508038585
DNA plate,26,Eppendorfs,2,6.24
DNA plate,27,Eppendorfs,3,3.573883162
DNA plate,28,Eppendorfs,4,3.521444695
DNA plate,29,Eppendorfs,5,17.66704417
DNA plate,30,Eppendorfs,6,10404.50862
DNA plate,31,Eppendorfs,7,5.735294118
DNA plate,32,Eppendorfs,8,2.352941176
DNA plate,33,Eppendorfs,1,6.367346939
DNA plate,34,Eppendorfs,2,1.65781084
DNA plate,35,Eppendorfs,3,1.364232619
DNA plate,36,Eppendorfs,4,0.704288939
DNA plate,37,Eppendorfs,5,2.673521851
DNA plate,38,Eppendorfs,6,1.694731124
DNA plate,39,Eppendorfs,7,1.617418351
DNA plate,40,Eppendorfs,8,2.604340568
DNA plate,41,Eppendorfs,1,8.492106696
DNA plate,42,Eppendorfs,2,0.732394366
DNA plate,43,Eppendorfs,3,1.503614458
DNA plate,44,Eppendorfs,4,1.869382864
DNA plate,45,Eppendorfs,5,1.908256881
DNA plate,46,Eppendorfs,6,0.635437882
DNA plate,47,Eppendorfs,7,1.356521739
DNA plate,48,Eppendorfs,8,1.591024987
DNA plate,49,Eppendorfs,1,1.548387097
DNA plate,50,Eppendorfs,2,2.458628842
DNA plate,51,Eppendorfs,3,1.364829396
DNA plate,52,Eppendorfs,4,1.558441558
DNA plate,53,Eppendorfs,5,0.854794521
DNA plate,54,Eppendorfs,6,4.629080119
DNA plate,55,Eppendorfs,7,2.613065327
DNA plate,56,Eppendorfs,8,1.530161844
DNA plate,57,Eppendorfs,1,2.940622055
DNA plate,58,Eppendorfs,2,1.732370905
DNA plate,59,Eppendorfs,3,1.730449251
DNA plate,60,Eppendorfs,4,1.902439024
DNA plate,61,Eppendorfs,5,2.544861338
DNA plate,62,Eppendorfs,6,3.406113537
DNA plate,63,Eppendorfs,7,1.709589041
DNA plate,64,Eppendorfs,8,2.536585366
DNA plate,65,Eppendorfs,1,1.739130435
DNA plate,66,Eppendorfs,2,5.370051635
DNA plate,67,Eppendorfs,3,2.307692308
DNA plate,68,Eppendorfs,4,2.574257426
DNA plate,69,Eppendorfs,5,1.195860483
DNA plate,70,Eppendorfs,6,1.472392638
DNA plate,71,Eppendorfs,7,3.545454545
DNA plate,72,Eppendorfs,8,2.617449664
DNA plate,73,Eppendorfs,1,2.206506365
DNA plate,74,Eppendorfs,2,1.614071392
DNA plate,75,Eppendorfs,3,1.380530973
DNA plate,76,Eppendorfs,4,1.615743138
DNA plate,77,Eppendorfs,5,2.345864662
DNA plate,78,Eppendorfs,6,0.901734104
DNA plate,79,Eppendorfs,7,1.619937695
DNA plate,80,Eppendorfs,8,0.668094218
DNA plate,81,Eppendorfs,1,1.991065731
DNA plate,82,Eppendorfs,2,1.600820934
DNA plate,83,Eppendorfs,3,2.407407407
DNA plate,84,Eppendorfs,4,1.937888199
DNA plate,85,Eppendorfs,5,9.122807018
DNA plate,86,Eppendorfs,6,0.65408805
DNA plate,87,Eppendorfs,7,2.333582648
DNA plate,88,Eppendorfs,8,1.049798116
DNA plate,89,Eppendorfs,1,1.123919308
DNA plate,90,Eppendorfs,2,10.72902338
DNA plate,91,Eppendorfs,3,2.157676349
DNA plate,92,Eppendorfs,4,1.620779221
DNA plate,93,Eppendorfs,5,5.799256506
DNA plate,94,Eppendorfs,6,1.607418856
DNA plate,95,Eppendorfs,7,1.442441054
DNA plate,96,Eppendorfs,8,5.492957746
