REGION_NAME	CHROMOSOME	START	STOP	LENGTH	BASES_PROBE_COVERAGE	FRAC_PROBE_COVERAGE	BASES_ESTIMATED_COVERAGE	FRAC_ESTIMATED_COVERAGE	BASES_W_NO_PROBE_COV	BASES_W_NO_PROBE_COV_DUE_TO_N	BASES_W_NO_PROBE_COV_DUE_TO_REPEATS	BASES_W_NO_EST_COV	BASES_W_NO_EST_COV_DUE_TO_N	BASES_W_NO_EST_COV_DUE_TO_REPEATS
Bn_AGPase_XM_013788832:0-1806	Bn_AGPase_XM_013788832	0	1806	1806	 1801	0.997	 1806	1.000	5	0	0	0	0	0
Bn_SDP1_XM_013866073:0-2898	Bn_SDP1_XM_013866073	0	2898	2898	 2830	0.977	 2898	1.000	68	0	0	0	0	0
chrA01:360378-360478	chrA01	360378	360478	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:360506-360647	chrA01	360506	360647	141	  121	0.858	  141	1.000	20	0	0	0	0	0
chrA01:360708-361364	chrA01	360708	361364	656	  655	0.998	  656	1.000	1	0	0	0	0	0
chrA01:868633-868704	chrA01	868619	868719	100	   81	0.810	  100	1.000	19	0	0	0	0	0
chrA01:868870-868891	chrA01	868831	868931	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:868996-869189	chrA01	868996	869189	193	  193	1.000	  193	1.000	0	0	0	0	0	0
chrA01:869217-869717	chrA01	869217	869717	500	  500	1.000	  500	1.000	0	0	0	0	0	0
chrA01:930236-930310	chrA01	930223	930323	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:930393-930446	chrA01	930370	930470	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:930521-930591	chrA01	930506	930606	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:930674-930867	chrA01	930674	930867	193	  193	1.000	  193	1.000	0	0	0	0	0	0
chrA01:930943-931097	chrA01	930943	931097	154	  154	1.000	  154	1.000	0	0	0	0	0	0
chrA01:1647908-1647995	chrA01	1647902	1648002	100	   76	0.760	  100	1.000	24	0	0	0	0	0
chrA01:1648071-1648203	chrA01	1648071	1648203	132	  132	1.000	  132	1.000	0	0	0	0	0	0
chrA01:1648297-1648368	chrA01	1648283	1648383	100	   76	0.760	  100	1.000	24	0	0	0	0	0
chrA01:1648640-1648783	chrA01	1648640	1648783	143	  143	1.000	  143	1.000	0	0	0	0	0	0
